Track Name;Artist Name(s);Album Release Date;Album Name;Track Duration (ms);Album Artist Name(s);Track Number
Cheerleader (feat. Kid Ink) - Felix Jaehn vs Salaam Remi Remix;OMI, Kid Ink;2015;Playlist;197746;Salmo;6
Cheerleader (Felix Jaehn Remix) - Radio Edit;OMI, Felix Jaehn;2014;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;196077;Billie Eilish;7
Chemicals;Tiësto, Don Diablo, Thomas Troelsen;2015;Supereroe;209179;Emis Killa;2
Chemicals (feat. Thomas Troelsen);Tiësto, Don Diablo, Thomas Troelsen;2015;Supereroe;207550;Emis Killa;5
Chiagne Ancora (feat. LIBERATO, J Lord);Ghali, LIBERATO, J Lord;2021;By the Way (Deluxe Edition);216933;Red Hot Chili Peppers;1
Chicles, Cigarrillos, Caramelos;Miki González;2018;Kids Party;169866;Artisti Vari;24
Chico (feat. Rose Villain & Luchè);Guè, Rose Villain, Luchè;2020;Warrior (Deluxe Version);211920;Kesha;2
Children Of Today;Blasterjaxx;2019;Motion;234773;Calvin Harris;14
China;Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna;2019;Unstoppable (Remixes/Pepsi Beats Of The Beautiful Game);227050;R3HAB;2
Cinema;Samuel, Francesca Michielin;2021;Greatest Hitz;269386;Limp Bizkit;13
Circles;Post Malone;2019;Go Hard;275583;Quintino;1
Clarity;Zedd, Foxes;2012;23 6451;144098;tha Supreme;12
Clint Eastwood;Gorillaz;2001;MILANO SOPRANO;165253;Don Joe;8
Close To Your Love;AtellaGali, Amanda Renee;2014;Dolceamaro;227777;Cristiano Malgioglio;1
Closer;The Chainsmokers, Halsey;2016;SQUARE UP;209355;BLACKPINK;1
Cold Heart - PNAU Remix;Elton John, Dua Lipa, PNAU;2021;Unforgettable;233832;French Montana;1
Cold Water (feat. Justin Bieber & MØ);Major Lazer, Justin Bieber, MØ;2016;My Life Is Going On (Burak Yeter Remix);226278;Burak Yeter, Cecilia Krull;1
Colgado;Cuchillazo;2014;Pensare Male (con Elodie);209347;The Kolors, Elodie;1
Colpa d'Alfredo;Vasco Rossi;2015;Playlist;211666;Salmo;7
Colpevole RMX (feat. Geolier);Tony Effe, Geolier;2021;Led Zeppelin III (1994 Remaster);145066;Led Zeppelin;1
Coltellata (feat. tha Supreme);Gazzelle, tha Supreme;2021;Kick Ass (International Version);191750;MIKA, RedOne;1
Come As You Are;Nirvana;1991;LALISA;168227;LISA;2
Come As You Are;Nirvana;1991;SHAWTY (feat. Sacky);153881;Rondodasosa, Nko, Sacky;1
come fa1;tha Supreme;2020;Call Me A Spaceman;189375;Hardwell;1
Come nelle canzoni;Coez;2021;Esta banda es un roche;267520;Los Yacks;2
Como Yo Le Doy (feat. Don Miguelo) - Spanglish Version;Pitbull, Don Miguelo;2015;Playlist;186213;Salmo;9
Complicated;Avril Lavigne;2002;C'era una volta;129427;Leon Faun;2
Complicated (feat. Kiiara);Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas, Kiiara;2017;BOOTLEG;238533;Kenshi Yonezu;3
Complicati;Poli Ok, Uzi Lvke, Xela Baby;2020;Best Of;215040;Technotronic;1
Con Calma;Daddy Yankee, Snow;2019;Kensei;204375;Ummet Ozcan;1
Congratulations, I Hate You;Alesana;2005;GVESVS;145433;Guè;1
Continuous Mix - Ibiza Calling, Vol. 1;Artisti Vari;2014;Divinely Uninspired To A Hellish Extent;182160;Lewis Capaldi;4
Continuous Mix - Ibiza Calling, Vol. 2;Artisti Vari;2014;JAMBO;157024;Takagi & Ketra, OMI, Giusy Ferreri;1
Cool;Alesso, Roy English;2015;Better When You're Gone;192402;David Guetta, Brooks, Loote;1
CORALINE;Måneskin;2021;Trastorno Bipolar;308946;Porta;12
Corso Europa;Rhove, Madfingerz;2021;Riot!;220480;Paramore;2
Could You Be Loved;Bob Marley & The Wailers;1980;On My Mind;193660;Monocule, Tim van Werd, Nicky Romero;1
Cracked Wall;Florian Picasso, VASSY;2016;beerbongs & bentleys;231266;Post Malone;9
Crazy;TRFN, Siadou;2018;24K Magic;225983;Bruno Mars;1
CRAZY LOVE;Marracash;2021;Animal;199693;Kesha;2
Cream - Radio Edit;Tujamo, Danny Avila;2015;Happier (Remixes);158095;Marshmello, Bastille;2
CRIMINALE;Salmo;2021;Flash Gordon (Deluxe Edition 2011 Remaster);168213;Queen;1
CRUDELIA - I nervi;Marracash;2020;Trance Classics Reloaded;385459;Artisti Vari;7
Crudo;Emis Killa, Jake La Furia;2021;Invaders Must Die;215806;The Prodigy;2
Cuando no es como debiera ser;PANDA;2007;Break My Fall;225475;Sound Rush;1
Cuarentena;LiL CaKe;2020;Rap God;363973;Eminem;1
Cucumba;Oliver Heldens, MOGUAI;2019;Ibiza Calling;161752;Artisti Vari;7
Cuore Nero - prod. Frenetik&Orang3;Blind;2020;Scary Monsters and Nice Sprites (Deluxe Tour Edition);281122;Skrillex;9
Dad Battle;Kawai Sprite;2020;Cannibal;204760;Kesha;2
Dímelo, Dímelo;Miki González;2018;SWAAY;218440;DNCE;1
Dance Monkey;Tones And I;2019;Neon Future I;285000;Steve Aoki;4
Dance, Dance;Fall Out Boy;2009;Teatro d'ira - Vol. I;194786;Måneskin;1
Dancin (feat. Luvli) - Krono Remix;Aaron Smith, Krono, Luvli;2014;Children Of Today;169384;Blasterjaxx;1
Dancing With A Stranger (with Normani);Sam Smith, Normani;2019;Club Almaja Top 40;303098;Artisti Vari;2
Dangerous (feat. Sam Martin);David Guetta, Sam Martin;2014;Old Town Road;157066;Lil Nas X;1
Dani California;Red Hot Chili Peppers;2006;TAXI DRIVER;170399;Rkomi;5
Dare Me;NERVO, Plastik Funk, Tim Morrison;2020;Too Weird to Live, Too Rare to Die!;187186;Panic! At The Disco;1
Dark Necessities;Red Hot Chili Peppers;2016;Joytime II;246760;Marshmello;2
Darkside;Alan Walker, Au/Ra, Tomine Harket;2018;I Feel;196875;JETFIRE, Qulinez;1
David;BLANCO;2021;Avalancha;358133;Heroes Del Silencio;5
Davide (feat. Coez);Gemitaiz, Coez;2018;Mortals;228340;Warriyo;1
Day 'N' Nite - Crookers Remix;Kid Cudi, Crookers;2009;100 Degrees (with Séb Mont);145740;Dubdogz, Bhaskar, Calmani & Grey;1
Day Or Night;Mike Williams;2019;Gecko (Overdrive);165440;Oliver Heldens, Becky Hill;1
DDU-DU DDU-DU;BLACKPINK;2018;Cold Water (feat. Justin Bieber & MØ);185351;Major Lazer;1
DEBITI;Massimo Pericolo, Crookers;2021;Up To Now;265666;Snow Patrol;2
Decode - Twilight Soundtrack Version;Paramore;2009;Feel All My Lovin' (feat. bby ivy);156010;LODATO, Devan, bby ivy;1
Delay;Moby, Lucky Date;2014;Play It Cool (DVBBS Remix);270013;Steve Aoki, Monsta X, DVBBS;1
Delirious (Boneless) (feat. Kid Ink);Steve Aoki, Chris Lake, Tujamo, Kid Ink;2014;I Don't Care (with Justin Bieber);219946;Ed Sheeran, Justin Bieber;1
Delirious (Boneless) (feat. Kid Ink);Steve Aoki, Chris Lake, Tujamo, Kid Ink;2014;Day Or Night;174374;Mike Williams;1
Delirious (Boneless) (feat. Kid Ink) - Reid Stefan Remix;Steve Aoki, Chris Lake, Tujamo, Kid Ink;2014;Party Starter;131585;Laidback Luke, Mark Bale;1
Demone;MamboLosco, Nardi, Finesse;2021;When The World Comes Down;213106;The All-American Rejects;4
Demons;Imagine Dragons;2012;23 6451;123039;tha Supreme;6
Derp;Bassjackers, MAKJ;2014;Callaita;250533;Bad Bunny, Tainy;1
Derp;Bassjackers, MAKJ;2014;Scatola Nera;170000;Gemitaiz, MadMan;1
Destiny - Edit;Headhunterz;2017;Spooky Scary Skeletons (Remix);230713;Dr Stiig;1
Destri;Gazzelle;2020;More Monsters and Sprites EP;261517;Skrillex;1
Dharma;Headhunterz, KSHMR;2016;Joytime II;219718;Marshmello;4
Di Notte (feat. Sfera Ebbasta & Carl Brave);Ernia, Sfera Ebbasta, Carl Brave;2021;Nobody's Home;170533;Avril Lavigne;2
Diamond Heart;Alan Walker, Sophia Somajo;2018;Faded;212626;Alan Walker;1
Diamonds;Rihanna;2012;Vita Vera Mixtape;252991;Tedua;3
Die Young;Kesha;2012;Mr. Fini;201931;Guè;2
DIECIMILAVOCI (con ARIETE);Rkomi, ARIETE;2021;DÍas Negros;170346;Cuchillazo;1
DIO PERDONAMI (64 Bars);BLANCO, Drast;2021;American Idiot;176346;Green Day;1
Dirty Sexy Money (feat. Charli XCX & French Montana);David Guetta, Afrojack, Charli XCX, French Montana;2017;Complicated (feat. Kiiara);184247;Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas;1
Dirty Talk;LOthief;2018;True Colors;218292;Zedd;3
Disculpa los Malos Pensamientos;PXNDX;2005;Body (Remix) [feat. Capo Plaza & Rondodasosa];205106;Tion Wayne, Russ Millions;1
DISPOVERY CHANNEL (feat. Nitro);Salmo, Nitro;2018;Vasco Rossi - All the Best;354293;Vasco Rossi;5
Djomb - Bien ou quoi;Bosh;2020;Animals (Extended);303826;Martin Garrix;1
Do I Wanna Know?;Arctic Monkeys;2013;X Marks The Spot (Official Exodus 2020 Anthem);170526;Furyan, Nosferatu, Alee;1
Do I Wanna Know?;Arctic Monkeys;2013;Operation Unicorn;182815;Jay Hardway;1
Do I Wanna Know?;Arctic Monkeys;2013;Routine EP;182400;Shiva;2
Do I Wanna Know?;Arctic Monkeys;2013;Io sono Fasma;177880;Fasma, GG;7
Do It Again;Steve Aoki, Alok;2019;Motion;227266;Calvin Harris;6
Do Or Die - Afrojack vs. THIRTY SECONDS TO MARS Remix;Afrojack, Thirty Seconds To Mars;2014;Used To Love (with Dean Lewis);236764;Martin Garrix, Dean Lewis;1
Dolceamaro;Malgioglio, Barbara d’Urso;2019;Motion;222533;Calvin Harris;8
Domenica;Coez;2019;Genesis;311250;Quintino, Mercer;1
Don't Let Me Down;The Chainsmokers, Daya;2016;Sweet but Psycho;187436;Ava Max;1
Don't Look Down (feat. Usher);Martin Garrix, Usher;2015;King Of My Castle (Don Diablo Edit);173159;Keanu Silva, Don Diablo;1
Don't Phunk With My Heart;Black Eyed Peas;2005;sangiovanni;161722;sangiovanni;4
Don't Start Now;Dua Lipa;2019;True: Avicii By Avicii;181973;Avicii;2
Don't Worry (feat. Ray Dalton) - Matoma Remix;Madcon, Ray Dalton;2015;SOLO;169566;JENNIE;1
Don't You Worry Child - Radio Edit;Swedish House Mafia, John Martin;2012;23 6451;149305;tha Supreme;3
Dos Caras;Mar de Copas;2013;FYAH;195066;TNT, Technoboy, Tuneboy;1
Dov'è L'Italia;Motta;2019;Forbidden Voices;230634;Martin Garrix;1
Dove e quando;Benji & Fede;2019;Ibiza Calling;289687;Artisti Vari;5
Down Below;Roddy Ricch;2018;Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally);292593;Macklemore & Ryan Lewis;1
DOWN BY LAW;THE RAMPAGE from EXILE TRIBE;2019;Skrillex and Diplo present Jack Ü;256000;Jack Ü, Skrillex, Diplo;8
Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally);Macklemore & Ryan Lewis, Grandmaster Melle Mel, Eric Nally, Grandmaster Caz, Kool Moe Dee;2015;Magic;149414;KSHMR;1
Dragon - Radio Edit;Martin Garrix, Matisse & Sadko;2015;Playlist;185573;Salmo;5
Dragon Ball Rap;Porta;2007;Time Of My Life (feat. Father Viola);191904;Mangoo, Faustix, Father Viola;1
DREAM TEAM (feat. Pyrex, Capo Plaza, Tedua & Shiva);Sick Luke, Shiva, Capo Plaza, Tedua, Pyrex;2022;Senderos De Traición - Edición Especial;253186;Heroes Del Silencio;2
Drip Too Hard (Lil Baby & Gunna);Lil Baby, Gunna;2018;Saint Cecilia EP;221666;Foo Fighters;1
Drippin' in Milano;ANNA;2021;Discovery;320357;Daft Punk;1
Drop It (feat. LUISAH);Dubdogz, Mariana BO, Flakkë, LUISAH;2021;This War Is Ours (Deluxe Edition);266733;Escape the Fate;8
Drop That Low (When I Dip);Tujamo;2016;Beautiful (feat. Camila Cabello);180000;Bazzi, Camila Cabello;1
Drop That Low (When I Dip);Tujamo;2016;Heaven To Me;175402;Don Diablo, Alex Clare;1
DUBAI;Rondodasosa, Nko;2021;Amantes Sunt Amentes;194160;PXNDX;6
Dulce y Veloz;Mar de Copas;2018;Hello;295493;Adele;1
Dying for You (feat. Alex Aris) - Radio Edit;Otto Knows, Lindsey Stirling, Alex Aris;2016;Electricity (with Dua Lipa);238173;Silk City, Dua Lipa;1
航海の唄;Sayuri;2019;We Like to Party;280990;Showtek;2
Easy Love;Sigala;2015;Adan y Eva;258638;Paulo Londra;1
Eat Sleep Rave Repeat - Calvin Harris Remix Edit;Fatboy Slim, Riva Starr, Beardyman;2013;1995;142857;Raven & Kreyn;1
Ecco - Ummet Ozcan Edit Radio Mix;Mem;2014;All The Lies;179456;Alok, Felix Jaehn, The Vamps;1
EDM Bubble;Jay Hardway, Mike Cervello;2018;A Head Full of Dreams;263786;Coldplay;5
El Duelo;Autobus;2014;Pump It Up;150635;Endor;1
El Duelo;Autobus;2007;Sweet Child O' Mine;177533;Melonia;1
El Duelo;La Ley;1995;Blu Celeste;158606;BLANCO;9
El Party;Jake La Furia, Alessio La Profunda Melodia;2017;Vasco Modena Park;294506;Vasco Rossi;6
Electric Elephants;Jay Hardway;2015;Rock Peruano;203200;Mar de Copas, Miki González;5
Electricity (with Dua Lipa);Silk City, Dua Lipa, Diplo, Mark Ronson;2018;Death of a Bachelor;178600;Panic! At The Disco;1
ELEGANTE (feat. Sfera Ebbasta);DrefGold, Sfera Ebbasta;2020;Animals;262813;Martin Garrix;1
Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich);DJ Khalil, Denzel Curry, Cordae, Swavay, Trevor Rich;2018;Hysteria;266234;Steve Aoki;1
Ella Quiere Beber - Remix;Anuel AA, Romeo Santos;2018;Beauty Behind The Madness;213520;The Weeknd;7
Elvis (feat. Guè Pequeno);Rose Villain, Guè, Sixpm;2021;Gorillaz;340920;Gorillaz;5
Emperor's New Clothes;Panic! At The Disco;2016;Back & Forth;196214;MK, Jonas Blue, Becky Hill;1
Emperor's New Clothes;Panic! At The Disco;2015;Rock Peruano;185960;Mar de Copas, Miki González;13
Empire State Of Mind;JAY-Z, Alicia Keys;2010;Famoso;189867;Sfera Ebbasta;2
En Boca De Tantos;Porta;2007;Spaghetti allo scoglio;131480;Bello Figo;2
Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons, JID, Arcane, League of Legends;2021;Dua Lipa (Complete Edition);190560;Dua Lipa;20
Enough Of You;Tujamo;2020;Scary Monsters and Nice Sprites (Deluxe Tour Edition);323906;Skrillex;11
Ensemble;Vicetone;2014;Dove e quando;190409;Benji & Fede;1
Entre dos tierras;Heroes Del Silencio;1990;X2;211660;Sick Luke;4
Entre los Árboles;Mar de Copas;2018;Sounds Good Feels Good (Deluxe);216454;5 Seconds of Summer;2
Epic - Garmiani Remix;Sandro Silva, Quintino, Garmiani;2018;Freedom;175169;Pitbull;1
Epsilon;Unterberg, Flynthe;2019;Festival Favorites 2014 - Armada Music;206250;Artisti Vari;1
Error 404;Martin Garrix, Jay Hardway;2013;Glory Days EP;222968;Disme, Vaz Tè;8
Espacios Vacíos;6 Voltios;2015;Rock Peruano;184546;Mar de Copas, Miki González;1
Esta banda es un roche;Los Yacks;2008;DISUMANO;195480;Fedez;4
Esta banda es un roche;Los Yacks;2008;Wah Wah;148692;Tancredi;1
Eterno;Autobus;2014;Turn Me On (feat. Vula);208473;Riton, Oliver Heldens;1
Ethereal Sakura;Deko, Yameii Online;2020;LOVE LUST FAITH + DREAMS;275786;Thirty Seconds To Mars;3
Everybody Is in the Place;Hardwell;2014;Never Really Over;223523;Katy Perry;1
Everybody Talks;Neon Trees;2012;23 6451;251511;tha Supreme;21
Everyday;Logic, Marshmello;2018;Fenomeno;264573;Fabri Fibra;10
Everyday of My Life;Third Party;2014;Playa;192000;Baby K;1
Everything;R3HAB, Skytech;2016;Love It Like That (feat. Nyanda);161665;Pink Panda;1
Everything Wonderful - Bonus;Black Eyed Peas, David Guetta;2010;Body (Joel Corry Remix);203476;Megan Thee Stallion, Joel Corry;1
F**kin' Perfect;P!nk;2010;TRANSLATION;234374;Black Eyed Peas;5
F.E.E.L.;Lucky Luke;2017;Power;148837;Hardwell, KSHMR;1
Fa' o' Brav' (feat. Emis Killa, Yung Snapp, MV Killa, Lele Blade);Rocco Hunt, Emis Killa, Yung Snapp, MV Killa, Lele Blade;2021;Reset (Worldwide);284186;Artisti Vari;3
Faded;Alan Walker;2015;The Prophecy;190869;Timmy Trumpet, Maddix;1
Faint;Linkin Park;2003;Dolce vita;148000;Shiva;7
FALENA (feat. Franco126, Coez & Ketama126);Sick Luke, Franco126, Coez, Ketama126;2022;La Leyenda De La Mancha;251681;Mägo de Oz;5
Falene (feat. Sophie and the Giants);Michele Bravi, Sophie and the Giants;2021;The Reason;195293;Hoobastank;1
Falling;Trevor Daniel;2020;Never Say Die, Vol. 2;316208;Artisti Vari;14
Falling;Trevor Daniel;2018;Listen Again;193333;David Guetta;15
Falling Down - Bonus Track;Lil Peep, XXXTENTACION;2018;UPNDOWN;186993;Merk & Kremont, Gianluca Motta;1
FANTASMI ( feat. Geolier & Marracash);TY1, Geolier, Marracash;2021;Monkey Business;239773;Black Eyed Peas;2
Far Away From Home (feat. Leony);Sam Feldt, VIZE, Leony;2020;Nothing but the Beat (Ultimate Edition);222500;David Guetta;3
Fat Beat;Will Sparks, Danny Avila;2019;X;221552;Dyro, Bassjackers;1
Fat Lip;Sum 41;2001;100 Greatest TikTok Songs & Viral Hits;211294;Artisti Vari;18
Fatality - Quintino Edit;Pep & Rash, Quintino;2014;Scialla Semper;180950;Massimo Pericolo;8
Feel All My Lovin' (feat. bby ivy);LODATO, Devan, bby ivy;2021;Trastorno Bipolar;308946;Porta;12
Feel Good Inc.;Gorillaz;2005;L'ultima notte;157566;ARIETE;1
Feel It All - Pionear Remix;Tokio Hotel;2015;Heaven (feat. Veronica);195000;Dzeko, Riggi & Piros, Veronica;1
Feel My Love;Türküm;2018;Nonostante Tutto;237250;Gemitaiz;2
Feel So Close - Radio Edit;Calvin Harris;2012;Head & Heart (feat. MNEK);166028;Joel Corry, MNEK;1
Feel the Preasure (Let You Down) [Axwell & New_ID Remix];Mutiny UK, Steve Mac, Nate James;2014;Una volta ancora (feat. Ana Mena);174291;Fred De Palma, Ana Mena;1
Feels (feat. Pharrell Williams, Katy Perry & Big Sean);Calvin Harris, Pharrell Williams, Katy Perry, Big Sean, Funk Wav;2017;MIC Drop (feat. Desiigner) [Steve Aoki Remix];238726;BTS, Steve Aoki;1
FEFE (feat. Nicki Minaj & Murda Beatz);6ix9ine, Nicki Minaj, Murda Beatz;2018;Wildcard;189375;KSHMR;1
Felicità puttana;Thegiornalisti;2018;Me Rehúso;205741;Danny Ocean;1
Fendi belt;Shiva, Paky;2021;Elephunk (International Version);272533;Black Eyed Peas;13
Ferma A Guardare (feat. Pinguini Tattici Nucleari);Ernia, Pinguini Tattici Nucleari;2021;Mienteme Prometeme;221268;Don Tetto;4
Fiebre (Prod. King DouDou);Bad Gyal;2016;Blah Blah Blah;183518;Armin van Buuren;1
Fiel;Los Legendarios, Wisin, Jhay Cortez;2021;The Beginning & The Best Of The E.N.D. (International Mega-Deluxe Version);269253;Black Eyed Peas;5
Fiesta Pagana;Mägo de Oz;2000;X2;215016;Sick Luke;5
Figli Di Puttana;BLANCO;2021;Avalancha;327426;Heroes Del Silencio;8
Final Masquerade;Linkin Park;2014;Me Provocas;293015;Fumaratto;1
Finché Non Mi Seppelliscono;BLANCO;2021;Mellon Collie And The Infinite Sadness (Remastered);258466;The Smashing Pumpkins;6
Find Your Way - Alle Farben Radio Edit;Plastik Funk, Alle Farben;2019;Gold Skies;281666;Martin Garrix;5
Fine Day;Coone, Brennan Heart;2020;Miami 2013 (Mixed by MYNC, R3hab and Nari & Milani);281250;MYNC, R3HAB, Nari & Milani;7
Fire Blazing;Dropgun;2018;Get Up;193770;R3HAB, Ciara;1
Fire In My Soul - Tom Staar Remix;Oliver Heldens, Shungudzo, Tom Staar;2019;Secrets (Radio Edit);216967;Tiësto, KSHMR;1
Fireflies;Owl City;2009;SOLO TUTTO;210784;Massimo Pericolo, Crookers;8
First Date;blink-182;2001;La zone (feat. Shiva);158769;Rhove, Shiva;1
First of the Year (Equinox);Skrillex;2011;1969 - Achille Idol Rebirth;174638;Achille Lauro;2
First Time;Kygo, Ellie Goulding;2017;After The Sunset;173333;Sam Feldt;12
Five More Hours;Deorro, Chris Brown;2015;Bug A Boo;185557;Joe Stone;1
Flash - Single Version;Queen;1980;FLOP;112867;Salmo;5
Flashbacks;Marshmello;2018;Can't Fight It;184453;Quintino, Cheat Codes;1
Flashlight - Original Mix;R3HAB, Deorro;2014;Polaris (Boku No Hero Academia);233690;Miura Jam;1
Flexin;Trias, M.I.M.E, Calli Boom;2020;True;255093;Avicii;3
FLOP!;Salmo;2021;Hot Space (2011 Remaster);248440;Queen;11
Fluorescent Adolescent;Arctic Monkeys;2007;La Scelta;275270;Caparezza;1
Fluorescent Adolescent;Arctic Monkeys;2007;LAURO (Deluxe Version);250830;Achille Lauro;6
Flute;New World Sound, Thomas Newson;2014;Lento;162362;Boro Boro, Don Joe, MamboLosco;1
Fly;Marshmello, Leah Culver;2018;La Câlin;172008;Serhat Durmus;1
Fly With You;Alfons;2021;Cheese;206066;Stromae;5
Follow Me (feat. Jason Derulo);Hardwell, Jason Derulo;2015;Netflix;153826;Lazza;1
Forbidden Voices;Martin Garrix;2015;Metaphor;202000;Alok, Timmy Trumpet;1
Fottuta canzone;Gazzelle;2021;Nothing But The Beat;245040;David Guetta;12
Found Me (feat. Maria Hazell);The Him, Maria Hazell;2019;We Come We Rave We Love;337920;Axwell /\ Ingrosso;1
Found You;RetroVision;2018;Club Life, Vol. 4 - New York City;134760;Tiësto;16
FREAK;L8, Mark Roland;2021;Blood Sugar Sex Magik (Deluxe Edition);264306;Red Hot Chili Peppers;11
Freak - Joe Stone 2K18 Edit;R3HAB, Quintino, Joe Stone;2018;My House;192190;Flo Rida;2
Freak (feat. Steve Bays);Steve Aoki, Diplo, Deorro, Steve Bays;2014;Good Morning World! (Dr. Stone) [feat. Broken];249076;Miura Jam;1
Freedom;Pitbull;2016;Epic (Garmiani Remix);155864;Sandro Silva, Quintino, Garmiani;1
Frenchtastic;Mr. Ivex, Dr. Peacock;2017;Is It Really Love;165970;Joe Stone, Cr3on;1
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit;Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine;2021;Pericos & Friends;233267;Los Pericos;4
Frijolero;Molotov;2003;OBE;189324;MACE;10
fuck 3x;tha Supreme;2020;In My Mind (feat. Georgi Kay);185624;Ivan Gough, Feenixpawl;2
fuck 3x;tha Supreme;2019;Problem;193986;Ariana Grande;1
Fumo Da Solo;Izi;2018;Peace Is the Mission (Extended Edition);166138;Major Lazer;10
Funky Beats;Gazzo;2014;Mambo Salentino;155413;Boomdabash, Alessandra Amoroso;1
Fuoco e benzina;Emis Killa;2018;The Power of Now;201093;Steve Aoki, Headhunterz;1
FUORI DI TESTA - feat. Par-T-One;Salmo, Par-T-One;2021;The Works;348173;Queen;1
Fuori E Dentro (feat. tha Supreme);Gemitaiz, MadMan, tha Supreme;2019;Unicorn Zombie Apocalypse;277500;Borgore, Sikdope;1
Fuoriluogo (feat. Madame);Ernia, Madame;2021;Mienteme Prometeme;193365;Don Tetto;2
Futura Ex (feat. Ernia);Guè, Ernia;2021;La Llave De La Puerta Secreta;303066;Rata Blanca;4
FYAH;TNT, Technoboy, Tuneboy;2020;Do I Wanna Know?;273424;Arctic Monkeys;1
G;Massimo Pericolo, Crookers, Goedi;2021;Believers Never Die - Greatest Hits;181440;Fall Out Boy;5
G.O.A.T. - Il cuore;Marracash;2019;Can't Remember to Forget You;207133;Shakira;1
Game Over;Martin Garrix, LOOPERS;2018;Landslide;234788;Vicetone, Youngblood Hawke;1
Gecko (Overdrive) - Radio Edit;Oliver Heldens, Becky Hill;2014;Tell Me Why;161951;Alok, Harrison;1
Generación Perdida;6 Voltios;2000;Keta Music, Vol. 3;163362;Emis Killa;3
Generic - Original Mix;MAKJ;2014;The Life;219000;Drous;1
Genesis - Original Mix;Quintino, Mercer;2014;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;194087;Billie Eilish;2
GENNARO & CIRO (feat. Baby Gang, Lacrim, Nko);Sacky, Baby Gang, Lacrim, Nko;2021;Bonanza;222213;PXNDX;4
Get Down;Tiësto, Tony Junior;2015;Nothing On Us;161520;The Him;1
Get Low;Dillon Francis, DJ Snake;2015;Way Back Home (feat. Conor Maynard) [Sam Feldt Edit];192452;SHAUN, Sam Feldt;1
Get Lucky (feat. Pharrell Williams & Nile Rodgers);Daft Punk, Pharrell Williams, Nile Rodgers;2013;YHLQMDLG;295176;Bad Bunny;14
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Daft Punk, Pharrell Williams, Nile Rodgers;2013;Nicotine;159381;Trevor Daniel;10
Get Up;R3HAB, Ciara;2016;(It Happens) Sometimes;202276;Jack Back;1
Get Up (Rattle) - Vocal Edit;Bingo Players, Far East Movement;2013;FSK TRAPSHIT REVENGE;148500;FSK SATELLITE;2
Get Whoa (feat. Fly Boi Keno);MAKJ, Fly Boi Keno;2015;Rock Peruano;249746;Mar de Copas, Miki González;9
Get Wild - Radio Edit;Alpharock;2014;FSK TRAPSHIT;156421;FSK SATELLITE;6
GHIGLIOTTINA - feat. Noyz Narcos;Salmo, Noyz Narcos;2021;Knee Deep In The Hoopla;296080;Starship;1
Ghost Of Us;Rebelion;2021;Favourite Worst Nightmare;179533;Arctic Monkeys;5
Ghost Town;Adam Lambert;2015;Mufasa;167142;Timmy Trumpet, The Golden Army;1
Gimme Tha Power;Molotov;1997;Blu Celeste;168000;BLANCO;8
Giovane e triste;Nashley;2021;To Be Loved: The Best Of Papa Roach (Explicit Version);200480;Papa Roach;2
Giovane Fuoriclasse;Capo Plaza, AVA;2017;Luv Is Rage 2;182706;Lil Uzi Vert;16
Girls Just Want to Have Fun;Cyndi Lauper;2014;Scialla Semper (Emodrill Repack);249303;Massimo Pericolo;12
Girls Like You (feat. Cardi B) - Cardi B Version;Maroon 5, Cardi B;2018;Purple Lamborghini (with Rick Ross);215510;Skrillex, Rick Ross;1
Girls Like You (feat. Cardi B) - Cardi B Version;Maroon 5, Cardi B;2018;Call On Me (Remixes);222040;Starley;3
Give It Away;Red Hot Chili Peppers;1991;TAXI DRIVER (MTV Unplugged);188347;Rkomi;10
Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);Pitbull, Ne-Yo, Afrojack, Nayer;2011;1969 - Achille Idol Rebirth;209538;Achille Lauro;11
Gives You Hell;The All-American Rejects;2008;Secrets;158181;LUM!X, SØLO;1
Glacier;James Vincent McMorrow;2013;Opinel;137142;Simba La Rue, Bobo;1
Glad You Came;The Wanted;2011;Ladro Di Fiori;188125;BLANCO;1
GO - Showtek Edit;MAKJ, M35, Showtek;2014;China;301714;Anuel AA, Daddy Yankee, KAROL G;1
Go Hard;Quintino;2014;Hollywood's Bleeding;215280;Post Malone;6
Go Hard;Quintino;2014;Walk Alone;171120;The Him;1
God Is A Dancer (with Mabel);Tiësto, Mabel;2019;We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte);222466;Pitbull;1
Going Bad (feat. Drake);Meek Mill, Drake;2018;V (Deluxe);224400;Maroon 5;12
